total day charge,total eve charge,total night charge,total intl charge,ARPU,phone number
24.96,26.35,8.04,1.94,61.29,422-4956
34.12,22.46,7.77,2.46,66.81,389-8606
24.75,8.36,10.39,2.94,46.44,406-7261
39,21.88,10.42,2.16,73.46,417-7973
35.87,16.07,5.54,1.27,58.75,390-2891
20.66,23.07,11.19,3.05,57.97,385-7387
36.72,16,6.62,0.97,60.31,362-2776
49.81,13.65,6.48,2.7,72.64,329-1955
37.59,22.52,7.6,4.16,71.87,344-3160
30.86,16.74,8.42,2.78,58.8,406-2454
12.63,15.07,13.33,3.92,44.95,335-3913
10.59,23.38,6.24,2.92,43.13,355-7705
38.86,21.12,7.52,2.43,69.93,410-7108
38.78,23.5,12.59,2.67,77.54,419-1674
52.68,17.03,8.26,3.83,81.8,351-7369
34.32,19.28,9.79,3.7,67.09,349-9566
25.47,15.3,6.3,3.16,50.23,333-3421
31.25,19.52,6.48,2.08,59.33,393-8199
31.74,28.48,8.42,4.46,73.1,388-4879
35.6,29.52,11.07,2,78.19,353-6007
37.94,15.57,6.79,2.75,63.05,416-1557
27.91,13.21,7.6,2.89,51.61,356-7217
25.59,16.41,14.02,2.78,58.8,350-2012
39.81,24.91,8.28,2.65,75.65,420-9838
9.4,14,9.03,2.75,35.18,373-6379
37.71,17.32,9.71,2.27,67.01,355-7293
28.83,5.01,8.07,2,43.91,406-4588
15.25,22.11,7.65,3.65,48.66,345-1524
13.63,18.62,5.52,2.32,40.09,375-8493
37.21,25.49,7.14,3.05,72.89,361-2924
21.37,17.65,8.24,3.48,50.74,359-6163
29.97,7.94,9.32,2.59,49.82,411-8140
35.22,21.6,7.62,2.57,67.01,381-9049
34.97,13.76,12.14,3.38,64.25,344-4478
25.74,12.95,11.25,0,49.94,360-2690
26.78,11.11,8.7,2.59,49.18,410-7383
27.27,8.72,10.59,2.46,49.04,356-1889
27.03,14.27,7.54,3.32,52.16,341-2360
36.4,17.08,11.11,2.48,67.07,370-3021
17.44,20.91,7.67,2.46,48.48,336-4656
27.15,16.79,5.47,3.75,53.16,386-2810
34.48,14.09,6.48,1.24,56.29,350-1354
9.78,22.57,10.99,3.13,46.47,346-5707
28.88,19.14,7.64,3.08,58.74,405-8370
57.04,18.06,11.93,3.43,90.46,373-2053
23.72,24.59,5.82,3.54,57.67,369-5222
24.19,10.09,10.8,1.78,46.86,347-7420
31.93,21.13,9.4,2.86,65.32,392-6856
24.85,22.23,7.34,2.35,56.77,371-5556
39.41,12.8,12.11,3.13,67.45,334-5337
32.93,13.11,13.46,3.43,62.93,334-8817
26.59,19.84,8.81,2.08,57.32,339-1405
37.52,18.5,8.57,3.56,68.15,380-7742
40.77,18.86,8.51,1.97,70.11,329-6191
29.24,17.02,10.49,2.16,58.91,340-3075
21.79,23.33,13.45,2.38,60.95,416-5849
22.13,24.73,8.77,3.78,59.41,334-7443
33.22,13.14,6.43,3.13,55.92,394-9121
49.86,16.02,12.01,3.92,81.81,383-1657
32.52,16.48,12.08,3.46,64.54,347-4112
20.81,12.22,7.07,3.11,43.21,362-8280
35.63,12.49,5.44,2.86,56.42,402-9982
36.67,12.44,11.91,1.92,62.94,392-8905
27.44,18.75,11.21,1.38,58.78,392-5512
24.51,19.27,6.51,3.73,54.02,351-6384
37.43,15.75,9.23,1.11,63.52,348-8015
43.55,13.66,11.22,2,70.43,374-6966
19.16,18.5,6.84,1.76,46.26,328-2236
50.92,19.27,9.48,3.7,83.37,372-6497
33.12,14.53,10.13,3.75,61.53,417-8617
17.14,19.55,8.71,2.57,47.97,361-9621
14.03,24.64,8.1,1.3,48.07,421-2723
24.89,7.62,9.9,4.21,46.62,327-9341
30.24,19.09,13.78,2.92,66.03,383-5474
26.1,16.49,11.54,2.75,56.88,328-8147
25.62,16.77,7.61,2.48,52.48,373-5438
30.62,10.84,10.68,2.03,54.17,333-9253
45.1,12.55,11.67,3.48,72.8,347-9421
21.86,11.39,9.48,3.08,45.81,419-3167
27.46,14.75,9.28,2.13,53.62,414-4162
28.1,16.87,9.38,2.65,57,416-5341
33.15,17.89,8.13,2.97,62.14,368-8600
36.35,22.53,10.79,4.21,73.88,336-6085
34.94,18.64,9.72,3.78,67.08,377-1479
42.99,15.12,7.13,2.3,67.54,360-2107
40.05,19.37,7.66,4.16,71.24,405-9384
32.64,10.85,7,2.03,52.52,420-5179
11.75,8.61,4.72,2.46,27.54,331-3174
44.49,17.9,11.55,1.62,75.56,411-5958
40.04,21.86,4.64,3.11,69.65,333-8180
36.28,17.42,8.09,2.57,64.36,357-2679
35.17,10.86,8.96,2.48,57.47,396-2867
44.85,8.79,9.36,2.3,65.3,341-9443
31.18,16.62,8.1,2.84,58.74,341-4103
26.79,16.5,10.42,2.54,56.25,416-8701
29.85,13.75,13.03,2.51,59.14,397-6109
41.23,8.74,6.41,2.51,58.89,392-5587
25.67,11.17,8.4,2.67,47.91,392-9342
23.48,13.98,6.07,2.24,45.77,368-2845
45,25.93,8.88,2.57,82.38,405-4920
47.99,12.92,10.15,3.24,74.3,348-7484
35.9,20.2,11.66,3.32,71.08,338-5207
33.51,11.06,3.51,2,50.08,418-7846
34.9,14.17,10.83,2.11,62.01,358-8729
30.91,19.39,11.82,2.48,64.6,349-1943
42.84,12.77,6.83,2.59,65.03,368-8283
32.95,10.11,6.12,2.48,51.66,345-1419
39.3,16.04,9.31,3.32,67.97,358-8025
34.02,16.06,9.23,4.19,63.5,383-8695
45.34,19.75,9.58,4.4,79.07,370-7565
20.08,18.83,4.68,3.21,46.8,401-6162
29.8,12.27,7.21,3.19,52.47,386-5303
21.27,21.15,9.51,3.02,54.95,351-6552
30.06,19.1,9.21,2.03,60.4,345-5338
41.12,11,11.92,1.59,65.63,330-2849
41,9.9,6.85,2.86,60.61,364-6801
36.91,20.06,5.32,2.54,64.83,375-3003
33.22,15.4,8.03,2.4,59.05,383-8878
37.81,27.8,9.36,2.35,77.32,384-2372
32.22,16.13,9.26,3.54,61.15,377-7107
20.93,13.46,11.52,2.51,48.42,361-1581
43.64,12.79,5.54,3.08,65.05,417-7888
27.05,20.54,9.11,1.76,58.46,383-8364
17.02,19.83,9.2,3,49.05,396-2335
5.25,15.9,10.39,2.32,33.86,408-4530
37.94,18.22,6.95,2.73,65.84,408-6621
31.86,16.99,9.72,3.4,61.97,393-7522
53.65,17.76,11.7,3.27,86.38,338-7120
47.18,11.2,5.71,2.21,66.3,357-4265
32.27,16.77,10.55,4.02,63.61,398-8801
25.02,16.39,7.77,2.75,51.93,346-2347
31.59,23.5,8.64,1.54,65.27,343-2741
26.42,16.02,11.47,2.16,56.07,420-8242
26.21,22.83,8.5,2.94,60.48,402-7746
16.59,8.97,9.91,3.13,38.6,332-1494
30.4,15.16,7.61,2.03,55.2,388-6223
25.38,23.26,9.3,2.46,60.4,404-9539
35.02,15.81,13.82,2.27,66.92,341-7332
36.86,16.22,8.44,2.97,64.49,338-7886
17.56,10.97,7.52,2.89,38.94,332-5596
23.7,13.52,5.77,2.08,45.07,348-9945
32.5,13.93,10.96,3.81,61.2,407-1896
27.2,16.1,10.35,2.81,56.46,398-9408
37.69,16.41,8.73,1.76,64.59,369-8005
10.69,19.64,7.6,2.3,40.23,346-2530
36.65,16.6,8.75,0.97,62.97,400-5984
28.1,19,11.74,2.05,60.89,351-1007
16.1,13.12,9.02,2.86,41.1,345-5980
34.54,12.96,8.9,2.62,59.02,368-8964
33.2,18.42,11.7,3.38,66.7,358-1912
24.43,25.31,9.57,3.08,62.39,379-3132
19.45,6.66,10.47,0,36.58,340-9910
37.88,17.26,9.48,1.86,66.48,396-2719
29.9,17.99,7.85,1.97,57.71,369-6204
42.48,20.61,6.83,4.13,74.05,420-9971
39.87,16.59,12.1,3.08,71.64,410-3782
35.82,18.63,8.09,1.94,64.48,404-4481
30.99,14.44,8.28,2.51,56.22,383-9255
32.35,16.53,11.54,3.16,63.58,418-9385
30.11,13.91,10.92,2,56.94,360-9676
14.82,14.39,7.5,2.94,39.65,327-3587
36.65,16.44,4.74,3.65,61.48,385-4715
23.36,20.2,9.3,3.78,56.64,414-2695
32.78,15.05,9.74,4.43,62,331-5999
25.38,17.02,10.43,3.21,56.04,337-7739
24.43,14.51,12.95,2.11,54,388-6658
38.22,16.15,9.96,2.48,66.81,405-6943
44.4,18.21,6.97,3.43,73.01,382-4084
33.41,14.94,9.98,3.62,61.95,352-8249
46.1,17.22,9.97,3.11,76.4,353-8363
35.22,24.86,10.18,2.16,72.42,416-2825
51.07,11.32,8.88,1.94,73.21,342-6696
39.03,11.25,9.54,2.57,62.39,338-9210
31.88,14.43,7.89,3.27,57.47,328-1768
9.71,16.97,12.36,1.76,40.8,406-5870
27.56,13.18,8.54,2.97,52.25,398-3834
24.65,14.94,10.07,4.51,54.17,330-7754
27.12,20.47,9.46,3.08,60.13,414-9054
32.42,17.73,9.17,2.38,61.7,350-2832
39.2,16.07,7.3,2.54,65.11,414-9027
5.78,23.68,5.83,3.11,38.4,337-1225
32.88,20.45,11.16,3.08,67.57,394-6577
34.34,13.9,8.79,2.81,59.84,359-6995
32.59,20.52,9.16,2.46,64.73,377-7561
27.42,21.28,6.41,1.78,56.89,380-6631
25.6,10.12,10.48,1.73,47.93,390-8876
31.38,16.66,10.19,2.11,60.34,413-2201
37.52,22.97,5.47,2.35,68.31,374-2073
28.44,16.87,5.99,2.97,54.27,417-1272
26.18,15.77,6.67,2.21,50.83,358-1129
20.59,15.84,10.88,2.73,50.04,394-1211
30.96,13.99,5.8,3.43,54.18,327-1319
18.63,11.7,7.19,2.97,40.49,399-4413
35.68,10.36,11.42,2.59,60.05,393-9985
28.48,20.58,4.55,3.08,56.69,401-8377
36.36,20.38,6.69,2.65,66.08,331-3202
19.69,20.68,8.31,3.54,52.22,358-5953
47.02,18.71,8.01,2.65,76.39,380-7624
30.5,15.39,14.43,2.57,62.89,416-5261
31.84,23.02,9.29,2.73,66.88,417-5067
34.2,19.31,6.56,2.27,62.34,345-6515
32.23,22.73,8.3,0.35,63.61,406-1349
31.76,22.19,14.3,4.05,72.3,360-9038
26.1,18.62,10.68,3.08,58.48,348-3444
31.89,17.7,7.15,2.35,59.09,370-2892
39.25,20.67,8.21,2.97,71.1,383-4061
41.63,10.03,10.62,4.1,66.38,391-7937
39.25,18.96,7.1,2.62,67.93,389-4083
31.81,21.27,6.52,2.97,62.57,410-9633
29.02,16.24,9.66,3.59,58.51,418-9502
21.57,14.19,6.53,2.38,44.67,339-6637
32.22,17.6,9.63,2.48,61.93,356-3403
30.07,14.27,8.2,2.08,54.62,371-9457
27.39,16.9,10.28,2.86,57.43,391-8087
28.8,16.76,9.1,2.89,57.55,392-6420
43.25,13.74,11.31,2.84,71.14,399-4094
21.71,18.28,10.54,1.57,52.1,378-4013
28.99,18.46,10.16,3.67,61.28,386-6306
37.25,20.65,7.6,2.73,68.23,359-3618
46.5,15.62,6.92,2.97,72.01,340-8875
27.52,17.08,6.03,2.89,53.52,330-2693
41.09,12.07,13,2.54,68.7,403-7627
10.68,14.48,12.61,2.54,40.31,342-3678
47.79,12.21,10.77,3.02,73.79,344-9943
38.79,22.41,6.42,2.89,70.51,390-5686
35.67,16.53,9.02,3.05,64.27,358-5826
45.15,17.75,8.21,3,74.11,393-7826
36.53,10.01,6.02,3.19,55.75,335-9786
18.79,18.97,7.63,2.84,48.23,368-9860
47.79,16.83,4.24,2.03,70.89,416-9522
23.43,24.34,7.52,3.81,59.1,416-7307
46.16,21.54,7.44,2.21,77.35,397-6789
19.18,18.6,10.81,2.43,51.02,335-9501
31.84,20.37,7.54,4.08,63.83,388-1250
33.49,22.89,7.15,2.92,66.45,386-1374
30.67,11,7.51,2.27,51.45,346-8112
25.25,18.65,8.93,3.92,56.75,364-9040
33.51,22.05,6.06,3.94,65.56,366-3944
26.13,11.71,9.61,4.29,51.74,331-9861
44.42,18.78,8.07,3.05,74.32,330-2881
41.85,17.2,8.1,2.54,69.69,402-9558
32.47,27.1,11.13,1.76,72.46,341-3180
35.41,21.56,13.1,3.4,73.47,371-8598
43.01,18.64,9.49,2.65,73.79,398-8385
34.39,17.13,4.58,1.84,57.94,333-4154
29.65,13.29,6.14,2.75,51.83,330-3589
21.61,14.63,8.76,3.27,48.27,417-1477
24.4,20.62,6.65,3.05,54.72,327-5525
31.77,20.4,9.04,1.57,62.78,363-8244
32.98,20.57,6.58,3.27,63.4,419-9104
39.92,9.08,8.03,2.67,59.7,363-1560
21.03,8.76,8.52,3.54,41.85,341-4075
29.56,23.49,8.59,4.13,65.77,366-9074
22.25,17.29,7.73,3.35,50.62,367-1424
53.48,14.43,12.83,1.54,82.28,341-1191
38.74,17.64,9.53,3.27,69.18,342-9480
16.24,13.91,11.89,1.78,43.82,355-9360
31.5,17.68,9.27,4.08,62.53,343-1538
24.87,17.23,10.56,3.54,56.2,335-2331
31.28,6.49,8.33,3.43,49.53,335-7257
17.99,3.73,8.53,3.54,33.79,332-2137
30.26,13.07,10.65,3.16,57.14,352-2998
25.4,10.53,7.84,2.73,46.5,346-6941
35.6,11.26,6.72,3.05,56.63,400-2203
29.26,17.99,8.2,3.13,58.58,421-2955
28.78,18.52,8.29,2.54,58.13,331-6629
20.25,24.45,10.04,3.29,58.03,343-6314
33.01,14.74,12.09,1.49,61.33,414-6638
33.8,19.56,5.39,2.67,61.42,350-5883
28.51,7.96,10.86,3.62,50.95,409-4447
34.37,18.43,10.77,3.19,66.76,376-4856
54.83,17.39,8.38,2.54,83.14,335-1874
36.75,18.33,6.23,2.75,64.06,397-6255
12.99,9.83,10.18,2.54,35.54,381-5047
12.36,17.73,2.96,2.67,35.72,403-6850
35.77,19.17,7.59,2.62,65.15,375-3658
21.62,13.85,11.13,2.19,48.79,341-2603
34.31,25.92,10.15,3.21,73.59,342-5062
37.32,18.88,8.47,4.35,69.02,354-1558
16.88,22.99,10.14,2.43,52.44,351-9537
40.66,12.75,7.24,2.78,63.43,401-1252
20.55,19.98,4.28,3.08,47.89,366-9538
38.2,11,7.54,4.27,61.01,364-7622
30.02,13.83,9.7,3.94,57.49,393-9918
48.26,16.32,8.83,2.7,76.11,376-4484
30.7,16.23,13.3,2.78,63.01,410-6791
21.4,16.69,11.37,2.78,52.24,343-2392
40.39,16.35,9.33,2.46,68.53,408-4323
33.73,22.5,5.01,2.48,63.72,395-1718
46.63,4.5,11.07,2.94,65.14,354-9492
33.93,17.97,3.26,2.97,58.13,367-8168
37.01,23.25,10.21,2.59,73.06,340-3500
22.9,20.05,11.71,2.05,56.71,369-4962
36.16,21.89,10.25,2.62,70.92,334-8967
43.57,15.32,8.43,1.67,68.99,402-2377
31.21,10.26,9.68,3.43,54.58,366-3917
29.95,16.66,11.88,2.48,60.97,333-3531
34.85,14.06,8.32,3.16,60.39,333-8954
45.54,18.96,11.82,3.05,79.37,374-9203
30.46,14.89,10.29,2.67,58.31,334-3289
25.4,16.7,9.43,4.02,55.55,353-7822
27.81,12.47,15.56,3.54,59.38,350-1422
35.29,12.98,9.8,3.35,61.42,385-8406
28.12,15.61,3.61,2.4,49.74,380-7277
35.67,14.56,6.96,2.67,59.86,352-1798
37.42,22.8,6.59,3,69.81,385-7922
24.02,13.12,9.48,2.21,48.83,353-7730
33.41,20.51,6.44,1.08,61.44,337-7163
30.75,17.81,11.25,2,61.81,348-5567
17.85,21.39,11.61,4.02,54.87,420-9575
46.14,16.18,12.81,3,78.13,366-3358
35.14,14.84,10.87,2.94,63.79,359-9972
28.36,20.06,13.84,2.51,64.77,387-3332
34.83,11.49,9.37,2.81,58.5,354-6960
26.28,20.88,6.69,2.46,56.31,405-3335
21.59,27.47,6.48,2.03,57.57,379-4257
45.46,17.36,5.03,1.59,69.44,355-4992
47.77,13.65,3.51,0,64.93,383-6373
46.04,18.73,7.65,3.19,75.61,382-7993
29.1,15.78,9.15,2.75,56.78,422-5865
21.1,17.22,13.03,1.81,53.16,410-9961
27.68,24.68,5.17,1.94,59.47,343-9946
24.87,21.75,2.03,2.16,50.81,357-7060
43.32,12.19,6.93,4.05,66.49,355-9541
43.33,20.67,8.59,1.46,74.05,378-4145
18.31,16.06,8.83,2.4,45.6,386-2317
27,22.51,12.15,2.05,63.71,335-8146
31.09,20.37,10.34,1.49,63.29,377-2235
33.75,3.61,8.06,3.35,48.77,386-9141
30.33,19.86,8.07,3.24,61.5,416-5623
18.85,13.47,9.34,1.67,43.33,327-3053
28.37,18.8,8.88,3.32,59.37,395-6195
41.62,5.17,7.95,2.89,57.63,397-8772
20.54,14.43,8.73,3.21,46.91,346-7656
28.1,17.85,8.42,2.3,56.67,343-2350
21.54,13.22,9.28,3.89,47.93,372-4722
36.7,17.05,8.79,4.19,66.73,399-8615
23.82,17.82,11.88,2.16,55.68,379-8248
35.68,21.23,10.09,2.35,69.35,414-6219
23.77,11.75,9.95,1.49,46.96,387-1343
54.67,21.39,6.35,3.05,85.46,370-5527
28.32,18.6,9.37,2.21,58.5,393-8736
36.41,16.73,7.11,1.59,61.84,402-7626
44.2,17.89,10.56,2.43,75.08,370-2688
32.62,6.03,9.22,3.62,51.49,418-9036
36.21,16.05,6.13,3.65,62.04,417-2035
20.08,9.32,11.05,4.56,45.01,355-3602
32.33,14.14,9.89,4.05,60.41,393-4027
13.97,13.88,11.92,1.38,41.15,418-5141
27.85,15.11,8.57,2.19,53.72,406-1247
45.53,26.89,9.39,3.89,85.7,402-3892
27.17,10.23,7.34,2.86,47.6,332-2965
36.43,24.63,14.06,2.86,77.98,377-1218
48.84,24.48,11.97,2.84,88.13,355-2464
17.2,12.04,8.93,2.03,40.2,404-4611
17.48,23.94,10.26,3.56,55.24,373-2339
18.55,9.83,13.31,2.24,43.93,410-3503
36.7,18.45,15.43,1.4,71.98,410-4739
34.58,10.94,8.57,2.97,57.06,365-3562
18.72,14.37,7.5,2.48,43.07,387-7641
18.87,18.68,9.09,1.19,47.83,385-9744
40.78,12.1,16.39,2.51,71.78,398-5006
24.62,9.56,9.84,3.73,47.75,408-3977
23.02,17.5,9.18,2.13,51.83,334-2729
14.31,6.87,8.82,2.92,32.92,334-7685
35.55,9.02,8.08,3.78,56.43,350-9228
22.12,16.66,6.27,3.08,48.13,407-5774
29.89,13.18,8.13,2.11,53.31,413-4039
41.12,12.34,9.65,1.78,64.89,343-2077
23.24,19.43,11.94,2.65,57.26,336-5661
11.51,16.63,10.64,3.24,42.02,355-4143
34.07,26.28,6.84,2.7,69.89,366-5918
21.39,17.65,9.33,3.81,52.18,368-7555
21.79,11.32,7.99,3.02,44.12,408-2119
38.47,18.96,11.5,3.51,72.44,329-2789
27.59,19.88,12.48,2.48,62.43,334-1508
38.15,12.57,8.27,1.81,60.8,337-1506
20.49,16.12,12.15,3.86,52.62,396-8400
15.49,15.24,13.53,3.21,47.47,349-2654
28.7,20.52,9.22,4.19,62.63,417-2716
26.1,24.42,10.36,1.76,62.64,402-1725
38.45,11.93,9.4,1.73,61.51,403-3229
32.62,17.59,12.24,3.4,65.85,353-6056
28.54,16.21,8.69,2.48,55.92,399-9802
30.6,12.33,10.52,3.11,56.56,366-7069
43.76,22.19,9.2,3.62,78.77,332-5949
29.65,14.44,9.07,2.97,56.13,393-6376
27.15,13.21,11.51,2.27,54.14,354-7025
40.32,18.92,7.8,2.97,70.01,351-6585
17.51,20.6,7.66,2.13,47.9,330-5462
26.15,19.89,8.83,3.13,58,407-2292
34.87,13.64,6.73,2.89,58.13,340-3011
29.87,15.91,10.15,2.32,58.25,345-9153
26.5,19.06,9.95,2.32,57.83,379-5503
26.25,18.82,9.38,2.78,57.23,389-6790
35.65,15.61,9.25,1.92,62.43,408-3610
25.5,24.3,8.58,2.54,60.92,375-8238
39.51,15.81,8.57,3.32,67.21,378-5633
28.12,9.83,8.72,3.46,50.13,389-9120
33.86,15.92,9.63,3.59,63,380-2758
36.99,27.24,6.78,1.13,72.14,402-2728
36.06,12.76,9.89,2.08,60.79,354-9062
26.18,14.09,12.15,2.92,55.34,417-2054
32.95,17.22,8.6,3.59,62.36,353-1941
29.82,21.09,5.51,3.29,59.71,328-1522
25.84,22,11.84,4.24,63.92,408-4529
39.13,15.87,5.78,2.48,63.26,417-5320
29.73,21.1,7.41,3.65,61.89,370-9755
32.33,22.29,5.85,2.38,62.85,372-4835
29.99,19.12,9.88,3.11,62.1,334-6605
27.35,21.35,12.3,1.35,62.35,399-5564
38.88,13.86,6.93,3.19,62.86,392-2887
24.48,15.44,5.76,3.32,49,328-2110
23.1,23.04,8.06,2.57,56.77,383-5976
56.83,16.33,8.59,2.81,84.56,332-6181
22.19,11.15,11.91,3.51,48.76,330-5255
22.81,13.81,8.4,3.19,48.21,413-5190
47.26,22.64,10.08,3.54,83.52,394-7447
17.92,18.26,10.06,2.11,48.35,353-7096
32.11,17.33,6.83,3.13,59.4,395-6002
19.01,20.37,12.07,1.86,53.31,372-9816
27.05,12.73,9.6,3.51,52.89,400-7253
36.11,19.09,9.96,2.43,67.59,344-7470
24.19,26.04,8.84,2.67,61.74,378-8572
58.96,21.21,12.39,3.59,96.15,345-9140
19.36,12.35,8.78,3.19,43.68,340-5460
45.54,22.38,8.01,2.24,78.17,369-8024
29.14,9.79,10.1,4.59,53.62,395-8595
46.82,15.94,6.62,3.67,73.05,359-4587
33.52,21.24,13.45,1.05,69.26,375-5439
32.74,11.49,9.73,2.13,56.09,361-3779
15.59,12.8,2.85,2.08,33.32,375-8934
21.47,12.04,11.52,2.59,47.62,395-4757
42.76,19.9,9.6,2.81,75.07,421-7205
32.4,12.95,6.51,2.03,53.89,379-8805
19.74,17.15,8.19,3.13,48.21,348-2150
36.94,18.37,6.66,3.05,65.02,417-9128
30.5,19.76,7.91,3.97,62.14,351-4226
35.31,14.01,2.45,2.13,53.9,330-6630
47.14,19.41,5.28,3.46,75.29,387-9137
21.3,14.25,11.73,2.27,49.55,372-3987
23.48,14.22,10.75,1.84,50.29,408-5183
28.78,19.2,7.74,2.21,57.93,412-9357
34.22,12.22,6.76,3.32,56.52,402-3599
36.84,9.9,9.9,2.65,59.29,379-5211
32.37,26.99,6,2.24,67.6,405-9217
24.36,16.62,10.05,1.62,52.65,340-9200
16.56,17.31,7.83,3.08,44.78,339-9026
30.84,14.25,7.58,3.05,55.72,343-4772
41.89,21.78,7.61,1.03,72.31,345-2108
24.38,24.6,8.73,2.62,60.33,401-4650
17.83,16.87,11.62,2.16,48.48,400-3945
26.55,16.41,10.02,3.54,56.52,338-3781
19.52,6.96,13.69,3.24,43.41,342-6316
39.53,17.47,9.62,3.21,69.83,336-5920
24.41,12.95,8.75,2.32,48.43,332-1060
30.04,20.75,7.93,2.46,61.18,418-3426
44.78,19.58,7.68,3.08,75.12,408-6326
24.89,12.62,9.75,3.05,50.31,334-6142
24.65,16.53,10.9,3.83,55.91,336-6128
28.53,14.25,4.96,2.27,50.01,406-6708
28.37,13.17,8.52,1.94,52,388-8670
24.23,16.63,5.49,2.11,48.46,363-5853
22.61,22.34,9.64,3.02,57.61,383-6544
42.99,24.17,11.83,3.32,82.31,378-2940
16.15,24.75,7.18,2.7,50.78,338-7683
33.01,21.2,11.47,3.48,69.16,329-2786
37.88,18.35,10.06,0,66.29,369-9465
34.31,19.68,10.17,4.46,68.62,337-3769
36.72,19.75,9.7,2.51,68.68,400-6257
24.87,14.6,7.54,1.43,48.44,411-6663
39.92,11.98,9.19,2.57,63.66,384-3101
33.76,18.18,7.7,2.86,62.5,339-5329
16.05,18.28,8.09,3.54,45.96,388-9944
32.37,18.33,7.25,2.7,60.65,403-1769
24.24,17.7,7.69,3.24,52.87,390-1612
22.81,14.03,7.79,2.89,47.52,421-7214
19.02,9.69,6.61,3.81,39.13,338-6962
20.88,17.96,11.76,2.89,53.49,333-9826
32.18,18.78,10.74,2.48,64.18,411-8549
40.87,17.15,9.27,4.35,71.64,381-9234
15.9,15.59,10.83,2.67,44.99,387-9855
26.96,17.95,8.07,2.75,55.73,371-6990
41.34,12.5,4.27,1.94,60.05,417-3046
29.99,13.5,13.8,2.51,59.8,385-7082
37.55,20.59,10.5,1.73,70.37,365-5886
24.55,22.65,9.79,1.92,58.91,373-5196
36.09,19.41,7.35,2.08,64.93,327-6194
24.99,14.08,10.94,2.27,52.28,381-4565
16.35,15.21,8.19,3.48,43.23,357-9832
44.78,15.22,9.66,2.78,72.44,396-4845
2.13,21.81,7.62,2.08,33.64,378-6772
27.59,16.35,10.83,2.73,57.5,353-4296
31.21,4.98,9.12,2.35,47.66,362-8331
30.28,12.45,6.19,2.3,51.22,362-4685
34.24,8.3,9.11,1.89,53.54,383-1431
20.91,11.38,6.22,3.59,42.1,332-2258
35.36,16.91,3.44,2.32,58.03,375-8304
40.66,16.02,4.75,2.38,63.81,340-5580
32.81,7.63,7.78,4.13,52.35,362-1490
29.67,20.88,7.78,2.78,61.11,336-4281
19.84,12.4,7.88,2.67,42.79,361-1315
15.95,12.75,10.85,2.89,42.44,342-5906
26.2,10.09,11.63,3.48,51.4,405-7904
40.72,17.32,7.55,2.67,68.26,349-4762
36.72,19.05,12.06,3.19,71.02,385-3263
31.86,15.11,10.5,3.29,60.76,405-9496
28.46,19.82,4.93,2.78,55.99,396-6775
27.27,18.54,8.68,3.38,57.87,393-6475
24.34,17.77,7.79,3.21,53.11,379-7779
34.9,20.44,8.06,1.35,64.75,408-8650
37.25,12.88,2.25,3.86,56.24,400-3497
24.34,14.43,9.71,2.05,50.53,407-9244
39.58,14.89,9.55,3.38,67.4,406-8809
27.54,21.04,7,2.4,57.98,358-1778
4.4,17.55,10.26,1.76,33.97,337-4339
26.21,9.55,11.09,4.16,51.01,344-7197
54.79,18.87,7.33,1.81,82.8,333-7631
35.68,18.81,9.45,2.21,66.15,372-6623
32.56,14.89,9.91,0,57.36,363-2602
49.49,19.27,9.86,2.03,80.65,387-7757
36.65,18.38,7.71,3.19,65.93,397-5381
35.5,18.16,7.88,3.35,64.89,406-4604
43.5,17.35,7.71,3.32,71.88,376-9513
42.96,18.79,4.95,3.35,70.05,360-1852
22.46,21.04,11.08,1.86,56.44,421-7270
36.89,17.6,12.06,2.21,68.76,371-9482
17.32,18.96,10.87,3.48,50.63,337-4101
35.96,15.69,7.39,3.59,62.63,420-2796
26.08,16.87,7.4,2.81,53.16,366-4225
28.27,20.34,5.54,2.7,56.85,398-4567
31.48,14.48,7.43,2.57,55.96,388-4571
17.78,12.71,11.48,1.76,43.73,360-8666
41.68,13.52,10.35,1.94,67.49,333-3704
46.65,16.88,7.24,1.62,72.39,383-2566
16.73,21.22,11.17,3.83,52.95,406-5584
47.58,18.96,11.33,3.51,81.38,344-4691
31.82,16.63,8.18,1.38,58.01,347-9737
46.95,14.09,6.82,0.59,68.45,333-7961
34.07,23.19,9.65,2.24,69.15,364-2439
27.59,20.74,8.1,2.46,58.89,411-8043
30.07,8.74,9.62,2.84,51.27,332-5084
28.14,17.47,9.61,3.29,58.51,413-4831
37.03,16.12,8.22,2.81,64.18,343-4806
34.24,20.95,6.97,3.48,65.64,401-8735
32.39,15.27,11.63,2.73,62.02,391-8626
30.58,16.08,7.39,3.46,57.51,327-5817
40.1,6.85,9.58,1.57,58.1,381-4712
23.87,15.9,9.36,2.13,51.26,335-3320
24.58,22,11.39,2,59.97,415-8780
32.13,10.07,11.16,4.62,57.98,362-1146
17.17,13.23,13.7,3.59,47.69,352-7413
35.07,24.89,1.97,2.86,64.79,387-6716
28.07,22.7,11.28,2.94,64.99,352-1127
28.05,17.22,7.75,3.38,56.4,368-1288
26.5,21.77,11.83,3.16,63.26,403-5279
33.86,18.25,6.79,3.19,62.09,397-9333
26.4,16,11.12,3.32,56.84,411-7353
35.41,20.12,8.06,3.05,66.64,383-2537
26.71,13.82,6.75,3.27,50.55,330-4419
26.25,14.31,10.8,3.16,54.52,390-7930
