phone number,customer service calls,Number of complaint raised,Time for resolution,payment_made_but_order_not_placed_and_amount_is_deducted_from_my_bank_account,Billing_issue,Calls_are_not_going,drop_calls,No_internet_connection,order,payment_refund,recharge_offer_service_fraud,Slow_network_coverage,uninformed___unsubscribed_weekly_amount_deduction
343-7242,1,1,10,0,0,0,0,0,0,0,0,0,1
376-1713,1,1,14,0,0,0,0,0,0,0,0,1,0
381-5878,2,2,16,0,0,1,0,0,0,0,0,0,1
390-5470,0,0,0,0,0,0,0,0,0,0,0,0,0
414-4803,3,0,0,0,0,0,0,0,0,0,0,0,0
382-5478,2,1,27,0,0,0,0,0,1,0,0,0,0
333-7637,1,1,6,0,0,0,0,0,0,0,0,1,0
341-1647,4,2,50,0,0,0,0,1,1,0,0,0,0
411-4232,0,0,0,0,0,0,0,0,0,0,0,0,0
339-2616,0,0,0,0,0,0,0,0,0,0,0,0,0
327-3850,0,0,0,0,0,0,0,0,0,0,0,0,0
328-7209,1,1,13,0,0,1,0,0,0,0,0,0,0
405-6189,1,1,6,0,0,1,0,0,0,0,0,0,0
418-6737,1,1,19,0,0,0,0,1,0,0,0,0,0
366-2212,2,2,13,0,1,0,0,1,0,0,0,0,0
356-1420,2,0,0,0,0,0,0,0,0,0,0,0,0
343-1323,3,1,11,0,0,0,0,0,1,0,0,0,0
361-8239,0,0,0,0,0,0,0,0,0,0,0,0,0
384-1621,1,1,13,0,0,0,0,0,1,0,0,0,0
360-3525,3,0,0,0,0,0,0,0,0,0,0,0,0
392-3813,1,1,5,0,0,0,0,0,0,0,1,0,0
337-6898,0,0,0,0,0,0,0,0,0,0,0,0,0
366-8036,0,0,0,0,0,0,0,0,0,0,0,0,0
352-8327,3,1,35,0,0,0,1,0,0,0,0,0,0
334-9505,3,2,46,1,0,0,0,0,0,0,0,0,1
336-5702,1,1,18,0,0,0,0,0,0,1,0,0,0
392-2381,3,2,27,0,0,0,0,0,1,0,1,0,0
369-6880,2,1,17,1,0,0,0,0,0,0,0,0,0
416-8697,1,1,22,0,0,0,0,0,0,0,0,1,0
345-3451,3,1,9,0,0,0,0,0,0,1,0,0,0
379-2514,1,1,7,0,0,0,0,0,0,0,0,1,0
418-6651,4,3,76,0,0,1,0,0,1,0,0,0,1
421-3528,0,0,0,0,0,0,0,0,0,0,0,0,0
329-9046,3,0,0,0,0,0,0,0,0,0,0,0,0
406-3890,1,1,6,0,0,0,0,0,0,0,0,1,0
403-8904,3,2,33,0,0,0,0,0,1,1,0,0,0
393-4086,1,1,6,0,0,0,1,0,0,0,0,0,0
400-1367,2,0,0,0,0,0,0,0,0,0,0,0,0
377-9473,1,1,10,0,0,0,1,0,0,0,0,0,0
396-3068,1,1,24,0,0,0,0,1,0,0,0,0,0
331-9293,0,0,0,0,0,0,0,0,0,0,0,0,0
347-1914,2,1,21,0,0,0,0,0,0,1,0,0,0
395-1962,3,1,33,0,0,0,0,0,0,0,1,0,0
401-5485,0,0,0,0,0,0,0,0,0,0,0,0,0
355-6560,0,0,0,0,0,0,0,0,0,0,0,0,0
363-3911,0,0,0,0,0,0,0,0,0,0,0,0,0
345-1998,1,1,17,0,0,0,0,0,0,0,0,1,0
361-5277,1,1,20,0,0,0,0,1,0,0,0,0,0
376-7145,0,0,0,0,0,0,0,0,0,0,0,0,0
375-2975,1,1,9,0,1,0,0,0,0,0,0,0,0
376-8573,2,0,0,0,0,0,0,0,0,0,0,0,0
366-7360,2,1,12,0,0,0,0,0,0,0,1,0,0
347-7898,1,1,24,0,0,0,0,0,0,0,0,0,1
390-7328,2,0,0,0,0,0,0,0,0,0,0,0,0
356-5491,2,0,0,0,0,0,0,0,0,0,0,0,0
373-3251,2,2,38,0,0,0,0,0,1,1,0,0,0
343-1965,4,4,101,0,0,0,1,1,0,1,0,1,0
378-8019,1,1,19,0,0,0,1,0,0,0,0,0,0
386-1548,3,2,45,0,0,1,0,0,0,0,1,0,0
397-1649,1,1,24,0,0,0,0,0,0,0,1,0,0
366-7247,1,1,22,0,0,0,0,0,0,0,1,0,0
402-9691,0,0,0,0,0,0,0,0,0,0,0,0,0
334-9806,0,0,0,0,0,0,0,0,0,0,0,0,0
378-7733,1,1,5,0,0,0,0,1,0,0,0,0,0
407-2248,2,1,19,0,0,0,0,0,0,0,0,1,0
405-3916,3,0,0,0,0,0,0,0,0,0,0,0,0
407-2081,1,1,15,0,0,0,0,0,0,0,1,0,0
397-9148,5,3,88,0,0,0,0,1,0,0,1,1,0
415-4857,1,1,23,0,0,0,0,0,0,0,0,0,1
354-7314,3,1,34,0,0,0,1,0,0,0,0,0,0
346-5611,2,1,14,0,0,0,0,1,0,0,0,0,0
349-4703,0,0,0,0,0,0,0,0,0,0,0,0,0
411-7778,0,0,0,0,0,0,0,0,0,0,0,0,0
421-1469,1,1,6,0,1,0,0,0,0,0,0,0,0
420-5990,2,1,28,0,0,0,0,0,0,0,1,0,0
389-4780,2,1,30,0,0,0,0,0,0,0,0,1,0
357-2735,1,1,17,0,0,0,0,0,0,0,0,1,0
409-4791,3,1,23,0,0,0,1,0,0,0,0,0,0
380-5286,1,1,17,0,0,0,0,0,0,0,0,0,1
394-8402,4,2,56,1,0,0,0,0,0,0,1,0,0
392-1616,7,0,0,0,0,0,0,0,0,0,0,0,0
364-1969,2,0,0,0,0,0,0,0,0,0,0,0,0
390-4152,1,1,2,0,0,0,0,0,0,0,0,0,1
367-7039,2,2,43,0,0,0,0,0,2,0,0,0,0
391-6607,0,0,0,0,0,0,0,0,0,0,0,0,0
379-6652,0,0,0,0,0,0,0,0,0,0,0,0,0
384-1833,2,1,24,0,0,0,0,1,0,0,0,0,0
403-2455,0,0,0,0,0,0,0,0,0,0,0,0,0
391-1348,2,0,0,0,0,0,0,0,0,0,0,0,0
408-4174,2,1,23,0,0,0,0,1,0,0,0,0,0
366-4334,2,1,21,0,0,0,0,0,0,0,0,1,0
406-5059,1,1,19,1,0,0,0,0,0,0,0,0,0
373-6784,4,2,75,0,0,0,0,0,0,0,0,0,2
408-3532,1,1,1,1,0,0,0,0,0,0,0,0,0
350-8680,1,1,2,0,0,0,0,0,0,0,0,0,1
398-9870,0,0,0,0,0,0,0,0,0,0,0,0,0
343-3356,0,0,0,0,0,0,0,0,0,0,0,0,0
415-4609,2,1,10,0,0,0,0,0,1,0,0,0,0
404-5387,1,1,23,1,0,0,0,0,0,0,0,0,0
415-8151,0,0,0,0,0,0,0,0,0,0,0,0,0
416-2778,9,6,145,2,2,1,0,0,0,1,0,0,0
393-3300,3,2,50,0,0,0,0,0,1,1,0,0,0
391-7661,3,1,15,0,0,0,0,0,0,0,1,0,0
339-4317,1,1,23,0,0,0,0,0,0,0,0,0,1
418-6455,2,2,26,0,1,0,0,0,0,1,0,0,0
378-3508,5,1,24,0,0,0,1,0,0,0,0,0,0
390-9359,0,0,0,0,0,0,0,0,0,0,0,0,0
364-2495,4,1,38,0,1,0,0,0,0,0,0,0,0
364-7719,4,2,72,0,0,1,0,0,0,0,0,1,0
421-1189,2,1,16,0,0,0,1,0,0,0,0,0,0
419-8987,3,2,21,0,0,1,0,0,0,0,1,0,0
402-9980,2,1,12,1,0,0,0,0,0,0,0,0,0
376-5908,2,1,7,0,0,1,0,0,0,0,0,0,0
400-3150,2,2,39,0,1,0,0,0,1,0,0,0,0
336-1749,0,0,0,0,0,0,0,0,0,0,0,0,0
420-1259,1,1,22,0,0,0,1,0,0,0,0,0,0
339-7541,2,1,27,0,0,0,0,0,1,0,0,0,0
378-9029,2,2,40,0,1,0,0,0,0,0,1,0,0
342-7514,1,1,21,0,1,0,0,0,0,0,0,0,0
422-4956,0,0,0,0,0,0,0,0,0,0,0,0,0
389-8606,1,1,16,0,0,0,0,0,0,0,0,1,0
406-7261,1,1,20,0,0,0,0,1,0,0,0,0,0
417-7973,2,1,23,1,0,0,0,0,0,0,0,0,0
390-2891,3,1,35,0,0,0,0,0,0,0,0,1,0
385-7387,2,0,0,0,0,0,0,0,0,0,0,0,0
362-2776,2,2,21,0,0,0,0,0,0,0,0,1,1
329-1955,2,1,27,0,0,0,0,0,0,0,0,0,1
344-3160,2,1,27,0,0,0,0,0,1,0,0,0,0
406-2454,1,1,4,0,0,0,0,1,0,0,0,0,0
335-3913,2,2,29,0,0,0,0,0,1,1,0,0,0
355-7705,1,1,8,0,0,0,0,0,1,0,0,0,0
410-7108,3,2,58,0,0,0,1,0,0,0,0,0,1
419-1674,2,1,28,0,1,0,0,0,0,0,0,0,0
351-7369,1,1,24,0,0,0,0,0,1,0,0,0,0
349-9566,3,2,21,1,0,0,1,0,0,0,0,0,0
333-3421,2,0,0,0,0,0,0,0,0,0,0,0,0
393-8199,1,1,2,0,0,0,0,0,0,1,0,0,0
388-4879,1,1,22,0,0,0,0,0,0,0,0,0,1
353-6007,1,1,24,1,0,0,0,0,0,0,0,0,0
416-1557,3,1,13,0,0,0,0,0,0,0,1,0,0
356-7217,1,1,14,1,0,0,0,0,0,0,0,0,0
350-2012,1,1,2,0,0,0,1,0,0,0,0,0,0
420-9838,0,0,0,0,0,0,0,0,0,0,0,0,0
373-6379,1,1,16,0,0,0,0,0,0,0,1,0,0
355-7293,1,1,14,0,0,0,0,0,0,0,1,0,0
406-4588,1,1,23,0,0,0,0,0,1,0,0,0,0
345-1524,5,1,35,0,0,0,0,0,0,0,1,0,0
375-8493,1,1,4,0,0,0,0,0,0,0,1,0,0
361-2924,2,1,12,0,0,0,0,0,1,0,0,0,0
359-6163,1,1,3,0,0,1,0,0,0,0,0,0,0
411-8140,2,1,14,0,0,0,0,0,1,0,0,0,0
381-9049,2,1,7,1,0,0,0,0,0,0,0,0,0
344-4478,2,1,14,1,0,0,0,0,0,0,0,0,0
360-2690,1,1,2,0,0,0,1,0,0,0,0,0,0
410-7383,3,2,44,0,0,0,1,1,0,0,0,0,0
356-1889,2,2,32,0,0,0,0,1,0,0,0,1,0
341-2360,1,1,21,0,0,0,0,0,1,0,0,0,0
370-3021,0,0,0,0,0,0,0,0,0,0,0,0,0
336-4656,2,0,0,0,0,0,0,0,0,0,0,0,0
386-2810,0,0,0,0,0,0,0,0,0,0,0,0,0
350-1354,1,1,9,0,0,1,0,0,0,0,0,0,0
346-5707,3,1,18,0,0,0,0,0,0,1,0,0,0
405-8370,1,1,21,0,0,0,0,0,1,0,0,0,0
373-2053,2,2,34,1,1,0,0,0,0,0,0,0,0
369-5222,0,0,0,0,0,0,0,0,0,0,0,0,0
347-7420,1,1,3,0,0,0,1,0,0,0,0,0,0
392-6856,0,0,0,0,0,0,0,0,0,0,0,0,0
371-5556,3,2,27,0,0,0,1,0,0,0,1,0,0
334-5337,3,0,0,0,0,0,0,0,0,0,0,0,0
334-8817,1,1,4,0,0,0,0,0,0,0,1,0,0
339-1405,4,1,29,0,0,0,0,0,0,1,0,0,0
380-7742,1,1,21,0,0,0,0,0,0,1,0,0,0
329-6191,2,1,14,0,0,0,0,0,0,0,0,1,0
340-3075,1,1,3,1,0,0,0,0,0,0,0,0,0
416-5849,2,1,29,0,0,0,0,0,0,0,0,1,0
334-7443,3,1,35,0,0,0,0,0,0,0,0,0,1
394-9121,1,1,2,0,0,0,0,1,0,0,0,0,0
383-1657,0,0,0,0,0,0,0,0,0,0,0,0,0
347-4112,1,1,13,0,1,0,0,0,0,0,0,0,0
362-8280,1,1,12,0,1,0,0,0,0,0,0,0,0
402-9982,2,1,20,0,0,0,0,1,0,0,0,0,0
392-8905,3,2,29,1,0,0,0,0,0,1,0,0,0
392-5512,0,0,0,0,0,0,0,0,0,0,0,0,0
351-6384,3,2,58,0,0,1,0,0,0,0,1,0,0
348-8015,0,0,0,0,0,0,0,0,0,0,0,0,0
374-6966,4,1,17,0,0,0,0,0,0,1,0,0,0
328-2236,1,1,14,0,0,0,0,0,1,0,0,0,0
372-6497,0,0,0,0,0,0,0,0,0,0,0,0,0
417-8617,0,0,0,0,0,0,0,0,0,0,0,0,0
361-9621,0,0,0,0,0,0,0,0,0,0,0,0,0
421-2723,3,3,47,2,0,0,0,1,0,0,0,0,0
327-9341,2,0,0,0,0,0,0,0,0,0,0,0,0
383-5474,2,1,30,0,1,0,0,0,0,0,0,0,0
328-8147,5,1,17,0,0,0,1,0,0,0,0,0,0
373-5438,1,1,23,0,0,0,0,0,0,0,0,1,0
333-9253,0,0,0,0,0,0,0,0,0,0,0,0,0
347-9421,1,1,22,0,0,0,0,0,0,0,0,0,1
419-3167,0,0,0,0,0,0,0,0,0,0,0,0,0
414-4162,2,1,21,0,0,0,0,0,0,1,0,0,0
416-5341,1,1,7,0,0,0,0,0,1,0,0,0,0
368-8600,0,0,0,0,0,0,0,0,0,0,0,0,0
336-6085,0,0,0,0,0,0,0,0,0,0,0,0,0
377-1479,1,1,5,1,0,0,0,0,0,0,0,0,0
360-2107,3,2,48,0,0,0,0,1,0,1,0,0,0
405-9384,0,0,0,0,0,0,0,0,0,0,0,0,0
420-5179,1,1,4,1,0,0,0,0,0,0,0,0,0
331-3174,0,0,0,0,0,0,0,0,0,0,0,0,0
411-5958,3,1,26,0,0,0,0,0,0,0,0,0,1
333-8180,2,1,11,1,0,0,0,0,0,0,0,0,0
357-2679,1,1,11,0,0,0,1,0,0,0,0,0,0
396-2867,3,1,8,0,0,0,0,0,0,0,0,1,0
341-9443,3,2,43,0,0,1,0,1,0,0,0,0,0
341-4103,1,1,15,0,0,0,0,0,0,0,0,1,0
416-8701,5,3,90,1,0,0,0,0,1,0,0,0,1
397-6109,0,0,0,0,0,0,0,0,0,0,0,0,0
392-5587,2,0,0,0,0,0,0,0,0,0,0,0,0
392-9342,0,0,0,0,0,0,0,0,0,0,0,0,0
368-2845,1,1,3,0,0,0,0,0,0,0,1,0,0
405-4920,1,1,12,0,0,0,0,1,0,0,0,0,0
348-7484,1,1,2,0,0,0,0,0,0,1,0,0,0
338-5207,0,0,0,0,0,0,0,0,0,0,0,0,0
418-7846,3,1,16,0,0,0,0,0,0,1,0,0,0
358-8729,1,1,1,0,0,0,0,0,1,0,0,0,0
349-1943,2,1,11,0,0,0,0,0,1,0,0,0,0
368-8283,2,2,23,1,0,0,0,0,1,0,0,0,0
345-1419,0,0,0,0,0,0,0,0,0,0,0,0,0
358-8025,1,1,10,0,0,0,1,0,0,0,0,0,0
383-8695,0,0,0,0,0,0,0,0,0,0,0,0,0
370-7565,1,1,3,0,0,1,0,0,0,0,0,0,0
401-6162,2,0,0,0,0,0,0,0,0,0,0,0,0
386-5303,0,0,0,0,0,0,0,0,0,0,0,0,0
351-6552,3,0,0,0,0,0,0,0,0,0,0,0,0
345-5338,1,1,16,0,1,0,0,0,0,0,0,0,0
330-2849,1,1,5,0,0,0,0,0,0,1,0,0,0
364-6801,0,0,0,0,0,0,0,0,0,0,0,0,0
375-3003,1,1,20,0,0,0,0,0,1,0,0,0,0
383-8878,0,0,0,0,0,0,0,0,0,0,0,0,0
384-2372,1,1,21,0,1,0,0,0,0,0,0,0,0
377-7107,1,1,13,0,0,0,0,0,0,1,0,0,0
361-1581,0,0,0,0,0,0,0,0,0,0,0,0,0
417-7888,3,1,8,0,0,0,0,0,0,1,0,0,0
383-8364,1,1,18,0,0,0,0,0,0,0,1,0,0
396-2335,3,0,0,0,0,0,0,0,0,0,0,0,0
408-4530,1,1,12,0,0,1,0,0,0,0,0,0,0
408-6621,3,2,36,0,1,0,0,0,0,0,1,0,0
393-7522,1,1,6,0,0,0,0,0,0,0,0,1,0
338-7120,3,3,77,1,0,0,0,0,0,0,0,1,1
357-4265,1,1,21,0,0,1,0,0,0,0,0,0,0
398-8801,2,2,46,0,1,1,0,0,0,0,0,0,0
346-2347,1,1,20,0,0,0,1,0,0,0,0,0,0
343-2741,4,1,11,0,0,0,0,1,0,0,0,0,0
420-8242,3,2,63,0,0,0,0,1,0,0,0,0,1
402-7746,6,5,165,0,1,0,1,1,2,0,0,0,0
332-1494,1,1,6,0,0,0,0,0,1,0,0,0,0
388-6223,1,1,8,0,0,0,1,0,0,0,0,0,0
404-9539,0,0,0,0,0,0,0,0,0,0,0,0,0
341-7332,0,0,0,0,0,0,0,0,0,0,0,0,0
338-7886,0,0,0,0,0,0,0,0,0,0,0,0,0
332-5596,0,0,0,0,0,0,0,0,0,0,0,0,0
348-9945,0,0,0,0,0,0,0,0,0,0,0,0,0
407-1896,1,1,23,0,0,0,1,0,0,0,0,0,0
398-9408,1,1,22,0,0,0,0,0,0,0,0,0,1
369-8005,3,2,50,0,2,0,0,0,0,0,0,0,0
346-2530,1,1,20,0,0,0,0,0,1,0,0,0,0
400-5984,1,1,17,1,0,0,0,0,0,0,0,0,0
351-1007,3,1,25,0,0,0,0,0,0,0,1,0,0
345-5980,2,2,35,0,0,2,0,0,0,0,0,0,0
368-8964,2,1,7,0,0,0,0,0,0,0,1,0,0
358-1912,3,1,9,0,0,0,1,0,0,0,0,0,0
379-3132,4,1,30,0,0,0,0,0,0,0,0,1,0
340-9910,2,1,6,0,0,0,0,0,0,0,1,0,0
396-2719,2,1,21,0,0,1,0,0,0,0,0,0,0
369-6204,2,1,27,0,0,0,0,0,0,0,0,1,0
420-9971,1,1,21,0,0,0,0,0,0,1,0,0,0
410-3782,2,2,44,0,0,0,0,0,0,0,0,1,1
404-4481,1,1,13,0,0,0,0,0,0,0,1,0,0
383-9255,1,1,9,0,0,0,0,0,0,1,0,0,0
418-9385,2,1,20,0,0,0,0,1,0,0,0,0,0
360-9676,0,0,0,0,0,0,0,0,0,0,0,0,0
327-3587,6,4,138,1,1,1,0,0,0,0,0,0,1
385-4715,1,1,13,0,1,0,0,0,0,0,0,0,0
414-2695,3,1,10,0,0,0,0,1,0,0,0,0,0
331-5999,1,1,7,0,0,0,0,0,0,1,0,0,0
337-7739,2,0,0,0,0,0,0,0,0,0,0,0,0
388-6658,1,1,20,0,0,0,1,0,0,0,0,0,0
405-6943,1,1,4,0,0,0,0,0,0,1,0,0,0
382-4084,2,2,32,0,0,0,0,0,1,0,0,0,1
352-8249,0,0,0,0,0,0,0,0,0,0,0,0,0
353-8363,3,0,0,0,0,0,0,0,0,0,0,0,0
416-2825,2,2,21,0,0,0,2,0,0,0,0,0,0
342-6696,2,1,27,0,0,0,0,0,1,0,0,0,0
338-9210,2,1,25,0,0,0,0,0,1,0,0,0,0
328-1768,1,1,16,0,0,0,0,0,0,0,0,1,0
406-5870,3,2,58,1,0,0,0,0,1,0,0,0,0
398-3834,5,3,78,0,0,0,0,1,1,0,0,1,0
330-7754,2,1,23,1,0,0,0,0,0,0,0,0,0
414-9054,1,1,8,0,0,0,0,0,0,1,0,0,0
350-2832,1,1,4,0,0,0,0,0,0,0,0,1,0
414-9027,1,1,18,0,1,0,0,0,0,0,0,0,0
337-1225,0,0,0,0,0,0,0,0,0,0,0,0,0
394-6577,5,2,59,1,0,0,0,0,0,0,0,0,1
359-6995,1,1,13,0,0,0,0,0,0,0,0,1,0
377-7561,1,1,1,0,0,0,0,1,0,0,0,0,0
380-6631,1,1,23,0,0,0,0,0,0,0,1,0,0
390-8876,1,1,20,0,0,0,0,0,1,0,0,0,0
413-2201,1,1,9,0,0,0,0,0,0,0,0,1,0
374-2073,1,1,10,1,0,0,0,0,0,0,0,0,0
417-1272,1,1,9,0,0,0,0,0,0,0,0,0,1
358-1129,3,1,25,0,0,0,1,0,0,0,0,0,0
394-1211,0,0,0,0,0,0,0,0,0,0,0,0,0
327-1319,3,2,42,1,0,0,0,1,0,0,0,0,0
399-4413,2,0,0,0,0,0,0,0,0,0,0,0,0
393-9985,1,1,7,0,0,0,1,0,0,0,0,0,0
401-8377,2,0,0,0,0,0,0,0,0,0,0,0,0
331-3202,2,1,19,0,0,1,0,0,0,0,0,0,0
358-5953,1,1,17,0,0,1,0,0,0,0,0,0,0
380-7624,2,1,27,0,0,1,0,0,0,0,0,0,0
416-5261,2,2,36,0,0,1,0,0,0,0,1,0,0
417-5067,1,1,15,0,0,0,0,0,0,0,0,1,0
345-6515,2,0,0,0,0,0,0,0,0,0,0,0,0
406-1349,1,1,19,0,0,1,0,0,0,0,0,0,0
360-9038,0,0,0,0,0,0,0,0,0,0,0,0,0
348-3444,0,0,0,0,0,0,0,0,0,0,0,0,0
370-2892,2,1,10,1,0,0,0,0,0,0,0,0,0
383-4061,0,0,0,0,0,0,0,0,0,0,0,0,0
391-7937,2,1,7,1,0,0,0,0,0,0,0,0,0
389-4083,3,3,66,0,0,1,0,0,0,0,1,1,0
410-9633,1,1,24,1,0,0,0,0,0,0,0,0,0
418-9502,1,1,11,0,0,0,0,0,0,1,0,0,0
339-6637,5,1,40,0,0,0,0,0,0,0,1,0,0
356-3403,0,0,0,0,0,0,0,0,0,0,0,0,0
371-9457,1,1,8,0,0,0,1,0,0,0,0,0,0
391-8087,1,1,5,0,0,0,0,0,0,0,1,0,0
392-6420,1,1,4,0,0,0,0,0,1,0,0,0,0
399-4094,0,0,0,0,0,0,0,0,0,0,0,0,0
378-4013,2,0,0,0,0,0,0,0,0,0,0,0,0
386-6306,6,4,131,1,0,0,0,1,0,1,1,0,0
359-3618,2,1,28,0,0,0,1,0,0,0,0,0,0
340-8875,2,1,10,0,0,0,0,0,0,0,0,0,1
330-2693,1,1,21,0,0,0,1,0,0,0,0,0,0
403-7627,1,1,11,0,0,0,0,1,0,0,0,0,0
342-3678,3,1,28,0,0,0,0,0,0,0,1,0,0
344-9943,1,1,3,0,0,1,0,0,0,0,0,0,0
390-5686,3,2,35,0,0,0,1,0,0,0,0,1,0
358-5826,0,0,0,0,0,0,0,0,0,0,0,0,0
393-7826,2,1,26,1,0,0,0,0,0,0,0,0,0
335-9786,2,0,0,0,0,0,0,0,0,0,0,0,0
368-9860,3,0,0,0,0,0,0,0,0,0,0,0,0
416-9522,0,0,0,0,0,0,0,0,0,0,0,0,0
416-7307,2,0,0,0,0,0,0,0,0,0,0,0,0
397-6789,1,1,6,0,0,0,0,0,0,1,0,0,0
335-9501,2,1,14,0,0,0,0,0,0,0,1,0,0
388-1250,1,1,12,0,0,0,0,0,1,0,0,0,0
386-1374,1,1,5,0,0,0,0,0,0,0,0,1,0
346-8112,1,1,5,1,0,0,0,0,0,0,0,0,0
364-9040,1,1,11,0,0,0,1,0,0,0,0,0,0
366-3944,2,1,9,0,0,0,0,1,0,0,0,0,0
331-9861,1,1,13,1,0,0,0,0,0,0,0,0,0
330-2881,1,1,17,1,0,0,0,0,0,0,0,0,0
402-9558,1,1,22,0,0,0,0,0,0,0,0,1,0
341-3180,0,0,0,0,0,0,0,0,0,0,0,0,0
371-8598,1,1,24,0,0,0,0,0,0,0,0,1,0
398-8385,0,0,0,0,0,0,0,0,0,0,0,0,0
333-4154,0,0,0,0,0,0,0,0,0,0,0,0,0
330-3589,0,0,0,0,0,0,0,0,0,0,0,0,0
417-1477,1,1,20,0,0,0,0,0,1,0,0,0,0
327-5525,0,0,0,0,0,0,0,0,0,0,0,0,0
363-8244,1,1,10,0,0,1,0,0,0,0,0,0,0
419-9104,1,1,10,0,1,0,0,0,0,0,0,0,0
363-1560,0,0,0,0,0,0,0,0,0,0,0,0,0
341-4075,1,1,4,0,0,0,0,0,0,0,1,0,0
366-9074,0,0,0,0,0,0,0,0,0,0,0,0,0
367-1424,1,1,6,1,0,0,0,0,0,0,0,0,0
341-1191,2,1,21,0,0,0,0,0,0,0,1,0,0
342-9480,1,1,24,0,0,0,1,0,0,0,0,0,0
355-9360,2,0,0,0,0,0,0,0,0,0,0,0,0
343-1538,1,1,12,0,0,0,1,0,0,0,0,0,0
335-2331,1,1,9,0,0,0,1,0,0,0,0,0,0
335-7257,2,1,22,1,0,0,0,0,0,0,0,0,0
332-2137,0,0,0,0,0,0,0,0,0,0,0,0,0
352-2998,1,1,8,0,0,0,0,0,0,0,0,0,1
346-6941,1,1,17,0,0,0,1,0,0,0,0,0,0
400-2203,2,1,6,0,0,0,0,0,1,0,0,0,0
421-2955,1,1,23,0,0,1,0,0,0,0,0,0,0
331-6629,1,1,19,1,0,0,0,0,0,0,0,0,0
343-6314,0,0,0,0,0,0,0,0,0,0,0,0,0
414-6638,2,1,9,0,0,0,0,0,0,1,0,0,0
350-5883,2,1,14,0,0,0,0,0,0,0,0,0,1
409-4447,3,1,32,0,0,0,0,0,0,0,0,1,0
376-4856,2,0,0,0,0,0,0,0,0,0,0,0,0
335-1874,2,1,9,0,1,0,0,0,0,0,0,0,0
397-6255,0,0,0,0,0,0,0,0,0,0,0,0,0
381-5047,3,2,45,0,0,0,1,1,0,0,0,0,0
403-6850,1,1,19,0,0,0,0,0,0,0,0,1,0
375-3658,0,0,0,0,0,0,0,0,0,0,0,0,0
341-2603,0,0,0,0,0,0,0,0,0,0,0,0,0
342-5062,1,1,19,0,0,0,0,0,0,0,0,0,1
354-1558,1,1,6,0,0,0,1,0,0,0,0,0,0
351-9537,3,2,67,0,0,0,0,0,0,1,0,0,1
401-1252,5,2,30,1,1,0,0,0,0,0,0,0,0
366-9538,2,1,27,1,0,0,0,0,0,0,0,0,0
364-7622,1,1,24,0,0,0,1,0,0,0,0,0,0
393-9918,1,1,18,0,0,0,0,0,0,0,0,0,1
376-4484,1,1,2,0,0,0,1,0,0,0,0,0,0
410-6791,1,1,8,0,0,0,0,0,0,1,0,0,0
343-2392,1,1,16,1,0,0,0,0,0,0,0,0,0
408-4323,0,0,0,0,0,0,0,0,0,0,0,0,0
395-1718,2,0,0,0,0,0,0,0,0,0,0,0,0
354-9492,0,0,0,0,0,0,0,0,0,0,0,0,0
367-8168,3,2,31,1,0,0,0,0,0,1,0,0,0
340-3500,3,2,30,0,0,0,1,0,0,0,0,0,1
369-4962,3,2,45,0,0,0,0,0,0,1,0,1,0
334-8967,2,0,0,0,0,0,0,0,0,0,0,0,0
402-2377,2,1,7,0,0,0,0,0,0,0,0,1,0
366-3917,1,1,1,0,1,0,0,0,0,0,0,0,0
333-3531,1,1,6,0,0,0,0,0,1,0,0,0,0
333-8954,1,1,19,0,1,0,0,0,0,0,0,0,0
374-9203,3,1,11,0,0,0,0,0,1,0,0,0,0
334-3289,2,1,8,0,0,0,0,1,0,0,0,0,0
353-7822,1,1,2,0,1,0,0,0,0,0,0,0,0
350-1422,3,2,43,0,0,0,0,0,0,1,1,0,0
385-8406,1,1,16,0,0,0,0,0,0,0,1,0,0
380-7277,3,2,44,0,0,1,0,0,0,0,1,0,0
352-1798,4,3,83,0,0,0,0,1,1,1,0,0,0
385-7922,0,0,0,0,0,0,0,0,0,0,0,0,0
353-7730,1,1,7,0,0,0,0,0,0,0,0,1,0
337-7163,0,0,0,0,0,0,0,0,0,0,0,0,0
348-5567,2,0,0,0,0,0,0,0,0,0,0,0,0
420-9575,0,0,0,0,0,0,0,0,0,0,0,0,0
366-3358,4,2,37,0,0,0,0,1,1,0,0,0,0
359-9972,1,1,15,0,0,0,0,1,0,0,0,0,0
387-3332,1,1,7,0,0,0,0,0,0,0,0,0,1
354-6960,5,4,132,0,1,0,0,0,0,1,0,1,1
405-3335,1,1,18,0,0,0,0,1,0,0,0,0,0
379-4257,1,1,20,0,0,0,0,0,0,0,0,1,0
355-4992,1,1,3,0,0,0,0,0,1,0,0,0,0
383-6373,1,1,20,0,0,0,0,0,0,0,1,0,0
382-7993,4,2,41,0,0,0,0,1,0,0,1,0,0
422-5865,1,1,13,1,0,0,0,0,0,0,0,0,0
410-9961,3,2,52,0,1,0,0,0,0,1,0,0,0
343-9946,1,1,2,0,0,0,0,0,1,0,0,0,0
357-7060,1,1,20,0,1,0,0,0,0,0,0,0,0
355-9541,2,1,10,0,0,1,0,0,0,0,0,0,0
378-4145,2,0,0,0,0,0,0,0,0,0,0,0,0
386-2317,0,0,0,0,0,0,0,0,0,0,0,0,0
335-8146,1,1,20,0,0,0,0,0,0,1,0,0,0
