international plan,voice mail plan,%call drops,%Packet_drops,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,phone number
yes,no,0.007,0.021,0,230.9,132,243.2,99,182.4,57,11,2,383-4061
no,yes,0.012,0.015,26,244.9,150,118,138,236,91,15.2,4,391-7937
no,no,0.008,0.005,0,230.9,93,223,78,157.8,101,9.7,2,389-4083
no,no,0.012,0.003,0,187.1,104,250.2,117,144.9,81,11,3,410-9633
no,no,0.014,0.001,0,170.7,54,191.1,108,214.6,107,13.3,4,418-9502
yes,yes,0.02,0.028,28,126.9,97,166.9,102,145.2,77,8.8,3,339-6637
no,no,0.017,0.014,0,189.5,112,207,95,214.1,91,9.2,7,356-3403
yes,no,0.009,0.011,0,176.9,110,167.9,100,182.2,138,7.7,2,371-9457
no,no,0.01,0.008,0,161.1,99,198.8,81,228.4,116,10.6,4,391-8087
no,no,0.015,0.009,0,169.4,107,197.2,71,202.2,79,10.7,4,392-6420
no,yes,0.012,0.007,20,254.4,133,161.7,96,251.4,91,10.5,4,399-4094
yes,yes,0.005,0.013,24,127.7,54,215,105,234.3,84,5.8,4,378-4013
no,yes,0.002,0.003,26,170.5,107,217.2,77,225.7,71,13.6,5,386-6306
yes,no,0.012,0.016,0,219.1,100,242.9,90,168.9,101,10.1,4,359-3618
yes,no,0.01,0.004,0,273.5,104,183.8,68,153.8,67,11,9,340-8875
yes,no,0.003,0.007,0,161.9,138,200.9,114,134,134,10.7,4,330-2693
no,yes,0.009,0.013,27,241.7,87,142,101,288.9,68,9.4,4,403-7627
yes,no,0.006,0.003,0,62.8,124,170.4,66,280.2,78,9.4,4,342-3678
no,yes,0.016,0.016,22,281.1,83,143.7,130,239.4,128,11.2,9,344-9943
no,no,0.011,0.011,0,228.2,70,263.7,80,142.6,60,10.7,5,390-5686
no,no,0.004,0.016,0,209.8,82,194.5,94,200.4,85,11.3,3,358-5826
no,no,0.032,0.03,0,265.6,86,208.8,102,182.5,105,11.1,6,393-7826
no,no,0.01,0,0,214.9,97,117.8,117,133.7,78,11.8,2,335-9786
no,no,0.014,0.014,0,110.5,79,223.2,111,169.5,64,10.5,3,368-9860
yes,yes,0.002,0.014,45,281.1,88,198,103,94.3,76,7.5,3,416-9522
no,no,0.016,0.016,0,137.8,86,286.3,76,167,77,14.1,3,416-7307
yes,yes,0.037,0.013,33,271.5,98,253.4,102,165.4,85,8.2,2,397-6789
no,no,0.011,0,0,112.8,108,218.8,120,240.2,106,9,3,335-9501
no,no,0.011,0.016,0,187.3,118,239.7,90,167.5,108,15.1,2,388-1250
no,no,0.004,0.011,0,197,84,269.3,105,158.9,105,10.8,4,386-1374
no,yes,0.017,0.008,32,180.4,89,129.4,124,166.9,124,8.4,2,346-8112
yes,no,0.068,0.036,0,148.5,126,219.4,125,198.5,121,14.5,7,364-9040
no,yes,0.004,0,22,197.1,113,259.4,95,134.7,135,14.6,5,366-3944
no,yes,0.006,0.01,26,153.7,115,137.8,146,213.5,104,15.9,5,331-9861
no,yes,0.019,0.001,27,261.3,96,220.9,101,179.4,97,11.3,2,330-2881
no,no,0.011,0.016,0,246.2,102,202.4,134,180.1,95,9.4,5,402-9558
no,no,0.018,0.008,0,191,88,318.8,119,247.3,79,6.5,4,341-3180
no,no,0.019,0.011,0,208.3,86,253.6,89,291,86,12.6,3,371-8598
no,no,0.017,0.015,0,253,73,219.3,78,210.8,89,9.8,4,398-8385
no,no,0.008,0.002,0,202.3,87,201.5,111,101.7,82,6.8,4,333-4154
no,no,0.016,0.002,0,174.4,120,156.3,98,136.5,121,10.2,5,330-3589
no,yes,0.015,0.012,30,127.1,89,172.1,116,194.6,111,12.1,3,417-1477
yes,yes,0.001,0.006,16,143.5,76,242.6,58,147.7,95,11.3,3,327-5525
no,yes,0.007,0.016,17,186.9,94,240,138,200.9,64,5.8,3,363-8244
no,no,0.011,0.016,0,194,118,242,114,146.3,108,12.1,4,419-9104
no,no,0.018,0.015,0,234.8,89,106.8,131,178.5,122,9.9,6,363-1560
no,no,0.004,0.012,0,123.7,96,103,80,189.4,82,13.1,4,341-4075
no,no,0.007,0.015,0,173.9,103,276.4,83,190.8,113,15.3,5,366-9074
no,yes,0.005,0,41,130.9,115,203.4,110,171.7,68,12.4,4,367-1424
no,no,0.038,0.036,0,314.6,102,169.8,86,285.1,100,5.7,3,341-1191
no,no,0.007,0.004,0,227.9,78,207.5,115,211.7,100,12.1,5,342-9480
no,no,0.014,0.014,0,95.5,92,163.7,63,264.2,118,6.6,6,355-9360
no,no,0.014,0.009,0,185.3,127,208,73,206.1,124,15.1,3,343-1538
no,no,0.009,0.013,0,146.3,133,202.7,95,234.7,103,13.1,3,335-2331
no,yes,0.019,0.009,16,184,99,76.4,134,185.1,96,12.7,3,335-7257
no,no,0.011,0.002,0,105.8,110,43.9,88,189.6,87,13.1,5,332-2137
no,no,0.014,0.007,0,178,110,153.8,64,236.6,105,11.7,4,352-2998
no,yes,0.012,0.005,24,149.4,74,123.9,72,174.3,84,10.1,6,346-6941
no,no,0.002,0.014,0,209.4,104,132.5,78,149.4,123,11.3,3,400-2203
no,no,0.002,0.001,0,172.1,105,211.7,99,182.2,105,11.6,6,421-2955
yes,no,0.011,0.008,0,169.3,82,217.9,147,184.2,77,9.4,9,331-6629
no,no,0.018,0.012,0,119.1,117,287.7,136,223,100,12.2,4,343-6314
no,no,0.004,0.013,0,194.2,147,173.4,87,268.7,114,5.5,2,414-6638
no,no,0.005,0.016,0,198.8,56,230.1,73,119.8,81,9.9,3,350-5883
yes,no,0.054,0.027,0,167.7,94,93.7,121,241.3,115,13.4,1,409-4447
no,no,0.003,0.01,0,202.2,86,216.8,93,239.4,99,11.8,2,376-4856
no,no,0.054,0.017,0,322.5,106,204.6,93,186.2,128,9.4,4,335-1874
no,no,0.008,0.01,0,216.2,107,215.6,84,138.4,127,10.2,3,397-6255
no,no,0.015,0.001,0,76.4,116,115.6,74,226.3,94,9.4,3,381-5047
no,no,0.006,0.006,0,72.7,75,208.6,117,65.8,71,9.9,3,403-6850
no,yes,0.012,0.003,31,210.4,100,225.5,97,168.7,120,9.7,4,375-3658
yes,yes,0.002,0.013,33,127.2,93,162.9,104,247.4,109,8.1,13,341-2603
no,yes,0,0.009,28,201.8,79,304.9,128,225.6,133,11.9,8,342-5062
no,yes,0.009,0.015,17,219.5,78,222.1,94,188.3,92,16.1,5,354-1558
no,no,0.02,0.003,0,99.3,112,270.5,136,225.3,94,9,6,351-9537
no,no,0.012,0.013,0,239.2,114,150,115,160.8,81,10.3,2,401-1252
yes,no,0.005,0.016,0,120.9,58,235,88,95.1,130,11.4,11,366-9538
no,no,0.016,0.014,0,224.7,81,129.4,112,167.6,109,15.8,6,364-7622
no,yes,0.002,0.009,19,176.6,88,162.7,66,215.5,98,14.6,6,393-9918
no,yes,0.003,0.01,51,283.9,98,192,109,196.3,85,10,4,376-4484
no,no,0.066,0.02,0,180.6,92,190.9,114,295.6,125,10.3,4,410-6791
no,yes,0.017,0.015,31,125.9,101,196.4,102,252.7,75,10.3,4,343-2392
no,no,0.006,0.014,0,237.6,79,192.4,107,207.4,111,9.1,9,408-4323
no,no,0.014,0,0,198.4,91,264.7,106,111.4,101,9.2,2,395-1718
no,no,0.013,0.016,0,274.3,110,52.9,109,246.1,119,10.9,5,354-9492
yes,no,0.015,0.013,0,199.6,89,211.4,96,72.4,84,11,4,367-8168
no,no,0.012,0.009,0,217.7,91,273.5,74,226.9,99,9.6,3,340-3500
no,no,0.003,0.013,0,134.7,96,235.9,90,260.2,113,7.6,6,369-4962
no,yes,0.006,0.009,24,212.7,73,257.5,103,227.8,119,9.7,13,334-8967
no,no,0.003,0,0,256.3,135,180.2,106,187.3,135,6.2,7,402-2377
no,no,0.003,0.005,0,183.6,133,120.7,98,215.1,112,12.7,2,366-3917
no,no,0.014,0.004,0,176.2,90,196,115,263.9,95,9.2,4,333-3531
no,yes,0.007,0,37,205,94,165.4,103,185,81,11.7,8,333-8954
no,no,0.016,0.015,0,267.9,114,223,74,262.7,90,11.3,3,374-9203
no,no,0.015,0.003,0,179.2,111,175.2,130,228.6,92,9.9,6,334-3289
no,no,0,0.013,0,149.4,145,196.5,105,209.5,108,14.9,3,353-7822
no,yes,0.02,0.006,38,163.6,132,146.7,113,345.8,115,13.1,3,350-1422
no,no,0.015,0.012,0,207.6,71,152.7,94,217.8,125,12.4,13,385-8406
no,no,0.011,0.015,0,165.4,108,183.7,103,80.2,108,8.9,4,380-7277
no,no,0,0.014,0,209.8,114,171.3,82,154.6,119,9.9,9,352-1798
no,yes,0.015,0,27,220.1,128,268.2,133,146.5,80,11.1,3,385-7922
no,no,0,0.012,0,141.3,72,154.3,95,210.6,91,8.2,5,353-7730
no,no,0.005,0.01,0,196.5,89,241.3,123,143.2,105,4,7,337-7163
yes,no,0.005,0.015,0,180.9,114,209.5,118,249.9,105,7.4,4,348-5567
no,no,0.012,0.014,0,105,150,251.6,90,258,93,14.9,5,420-9575
no,no,0.059,0.03,0,271.4,119,190.4,102,284.7,118,11.1,6,366-3358
no,yes,0.008,0,43,206.7,79,174.6,122,241.5,80,10.9,3,359-9972
no,no,0.011,0.015,0,166.8,109,236,117,307.6,77,9.3,1,387-3332
no,no,0.018,0.016,0,204.9,107,135.2,102,208.2,106,10.4,3,354-6960
no,yes,0,0.002,15,154.6,128,245.6,106,148.6,90,9.1,4,405-3335
no,no,0.007,0.011,0,127,107,323.2,75,143.9,127,7.5,2,379-4257
yes,no,0.017,0.014,0,267.4,78,204.2,85,111.7,146,5.9,4,355-4992
no,no,0.011,0.002,0,281,66,160.6,108,77.9,74,0,0,383-6373
no,yes,0.01,0.009,33,270.8,96,220.4,110,169.9,104,11.8,8,382-7993
no,no,0.014,0.014,0,171.2,82,185.6,102,203.3,64,10.2,7,422-5865
no,no,0.01,0.005,0,124.1,82,202.6,120,289.6,119,6.7,8,410-9961
no,no,0.009,0.011,0,162.8,113,290.3,111,114.9,140,7.2,3,343-9946
no,no,0.004,0.011,0,146.3,84,255.9,113,45,117,8,12,357-7060
no,no,0.005,0.007,0,254.8,85,143.4,80,153.9,102,15,7,355-9541
no,yes,0.013,0.013,26,254.9,108,243.2,135,190.8,95,5.4,3,378-4145
no,yes,0.016,0.003,31,107.7,124,188.9,104,196.2,98,8.9,3,386-2317
no,no,0.015,0.009,0,158.8,75,264.8,91,270,77,7.6,7,335-8146
no,no,0.006,0.011,0,182.9,113,239.6,85,229.8,104,5.5,4,377-2235
no,no,0.012,0.008,0,198.5,112,42.5,90,179.2,124,12.4,5,386-9141
no,no,0.015,0.016,0,178.4,72,233.6,134,179.4,91,12,2,416-5623
no,no,0.007,0.007,0,110.9,91,158.5,115,207.5,131,6.2,5,327-3053
no,yes,0.011,0.037,27,166.9,85,221.2,92,197.3,97,12.3,4,395-6195
yes,no,0.004,0.002,0,244.8,91,60.8,105,176.7,110,10.7,3,397-8772
no,no,0.02,0.017,0,120.8,96,169.8,101,194.1,63,11.9,3,346-7656
no,no,0.018,0.011,0,165.3,118,210,101,187.2,93,8.5,3,343-2350
no,no,0.006,0.016,0,126.7,113,155.5,131,206.2,112,14.4,7,372-4722
no,yes,0.018,0,35,215.9,106,200.6,107,195.4,107,15.5,7,399-8615
no,no,0,0.014,0,140.1,132,209.6,126,264.1,77,8,2,379-8248
no,yes,0.013,0.016,32,209.9,113,249.8,104,224.2,92,8.7,7,414-6219
yes,yes,0.006,0.005,29,139.8,114,138.2,91,221,88,5.5,6,387-1343
no,no,0.007,0.026,0,321.6,107,251.6,115,141.1,158,11.3,3,370-5527
no,no,0.005,0.015,0,166.6,61,218.8,107,208.3,131,8.2,6,393-8736
no,no,0.001,0.014,0,214.2,90,196.8,78,157.9,112,5.9,8,402-7626
no,no,0.059,0.037,0,260,123,210.5,127,234.7,70,9,3,370-2688
no,no,0.022,0.037,0,191.9,113,70.9,87,204.8,107,13.4,4,418-9036
no,no,0.018,0.006,0,213,95,188.8,104,136.2,89,13.5,3,417-2035
no,yes,0,0.01,24,118.1,83,109.6,72,245.5,73,16.9,2,355-3602
no,no,0.014,0.004,0,190.2,89,166.4,108,219.8,73,15,4,393-4027
no,yes,0.019,0.005,25,82.2,95,163.3,109,264.9,104,5.1,6,418-5141
no,yes,0.002,0.014,32,163.8,80,177.8,123,190.4,106,8.1,5,406-1247
no,no,0.068,0.011,0,267.8,145,316.4,121,208.6,91,14.4,11,402-3892
no,no,0.019,0.015,0,159.8,91,120.4,86,163,93,10.6,3,332-2965
no,yes,0.008,0.015,24,214.3,129,289.8,55,312.5,130,10.6,4,377-1218
no,no,0.035,0.017,0,287.3,123,288,114,266,112,10.5,4,355-2464
no,no,0.009,0.008,0,101.2,122,141.6,87,198.5,124,7.5,3,404-4611
no,no,0.018,0.01,0,102.8,74,281.7,125,228.1,113,13.2,5,373-2339
no,no,0.007,0.005,0,109.1,97,115.7,96,295.8,84,8.3,6,410-3503
no,no,0.007,0,0,215.9,67,217,108,342.8,130,5.2,2,410-4739
no,no,0.012,0.015,0,203.4,110,128.7,97,190.5,113,11,4,365-3562
no,no,0.002,0.015,0,110.1,113,169,59,166.7,94,9.2,2,387-7641
no,no,0.002,0.009,0,111,51,219.8,84,202,89,4.4,14,385-9744
no,no,0.008,0,0,239.9,121,142.3,51,364.3,106,9.3,5,398-5006
no,no,0.015,0.012,0,144.8,107,112.5,66,218.7,79,13.8,3,408-3977
no,no,0.009,0.013,0,135.4,134,205.9,85,204,103,7.9,4,334-2729
no,no,0.017,0.01,0,84.2,134,80.8,103,196.1,79,10.8,2,334-7685
no,no,0.001,0.008,0,209.1,127,106.1,80,179.6,90,14,6,350-9228
no,yes,0.02,0.004,24,130.1,117,196,61,139.3,123,11.4,5,407-5774
no,yes,0.005,0.007,24,175.8,139,155,98,180.7,64,7.8,5,413-4039
no,no,0.01,0.004,0,241.9,104,145.2,112,214.5,105,6.6,5,343-2077
no,no,0.012,0.001,0,136.7,106,228.6,105,265.3,114,9.8,4,336-5661
no,no,0.013,0.006,0,67.7,68,195.7,86,236.5,137,12,2,355-4143
no,no,0,0.014,0,200.4,87,309.2,105,152.1,118,10,2,366-5918
yes,no,0.047,0.025,0,125.8,103,207.7,96,207.4,143,14.1,4,368-7555
no,no,0.002,0.006,0,128.2,87,133.2,105,177.6,123,11.2,2,408-2119
no,no,0.013,0.004,0,226.3,88,223,107,255.6,92,13,3,329-2789
no,yes,0.005,0.004,37,162.3,107,233.9,115,277.4,94,9.2,4,334-1508
no,no,0.019,0.002,0,224.4,121,147.9,97,183.8,74,6.7,2,337-1506
no,no,0.007,0.004,0,120.5,127,189.7,52,270.1,107,14.3,2,396-8400
no,no,0.002,0.003,0,91.1,90,179.3,115,300.7,89,11.9,8,349-2654
no,no,0.002,0.016,0,168.8,137,241.4,107,204.8,106,15.5,4,417-2716
no,no,0.016,0.014,0,153.5,81,287.3,115,230.2,85,6.5,5,402-1725
no,no,0.002,0.008,0,226.2,88,140.3,114,208.9,110,6.4,2,403-3229
no,no,0.013,0.011,0,191.9,107,206.9,127,272,88,12.6,2,353-6056
no,yes,0.038,0.01,28,167.9,147,190.7,105,193,103,9.2,6,399-9802
no,no,0.015,0.013,0,180,88,145,77,233.7,120,11.5,6,366-7069
no,no,0.026,0.037,0,257.4,67,261.1,91,204.4,107,13.4,5,332-5949
no,yes,0.017,0.01,28,174.4,75,169.9,80,201.6,130,11,4,393-6376
no,no,0.017,0.009,0,159.7,83,155.4,121,255.7,114,8.4,3,354-7025
no,no,0.002,0.006,0,237.2,124,222.6,87,173.3,81,11,3,351-6585
no,no,0.018,0.002,0,103,129,242.3,103,170.2,89,7.9,3,330-5462
no,no,0.002,0.003,0,153.8,89,234,89,196.3,77,11.6,2,407-2292
no,no,0.006,0.012,0,205.1,86,160.5,95,149.5,142,10.7,2,340-3011
no,yes,0.007,0,39,175.7,93,187.2,94,225.5,118,8.6,3,345-9153
no,no,0.003,0.006,0,155.9,123,224.2,112,221,116,8.6,8,379-5503
no,yes,0.009,0.002,34,154.4,109,221.4,142,208.5,103,10.3,5,389-6790
no,yes,0.008,0.006,23,209.7,73,183.6,63,205.5,111,7.1,3,408-3610
yes,no,0.004,0.016,0,150,69,285.9,73,190.6,121,9.4,15,375-8238
no,yes,0,0.001,23,232.4,97,186,88,190.5,128,12.3,3,378-5633
no,no,0.018,0.002,0,165.4,100,115.7,87,193.8,118,12.8,5,389-9120
no,no,0.004,0.006,0,199.2,106,187.3,12,214,85,13.3,3,380-2758
no,no,0.019,0.01,0,217.6,81,320.5,51,150.7,110,4.2,3,402-2728
no,no,0.003,0.015,0,212.1,95,150.1,88,219.8,111,7.7,2,354-9062
no,yes,0.006,0.011,30,154,75,165.8,97,270,83,10.8,5,417-2054
no,yes,0.004,0.003,31,193.8,130,202.6,98,191.2,102,13.3,2,353-1941
no,no,0.011,0.006,0,175.4,130,248.1,105,122.4,85,12.2,4,328-1522
no,yes,0.038,0.01,22,152,63,258.8,131,263.2,109,15.7,5,408-4529
no,no,0.001,0.001,0,230.2,147,186.7,121,128.4,100,9.2,3,417-5320
no,yes,0.052,0.03,33,174.9,103,248.2,105,164.6,116,13.5,3,370-9755
no,no,0.02,0.01,0,190.2,68,262.2,64,130,92,8.8,4,372-4835
no,no,0.005,0.015,0,176.4,122,224.9,123,219.6,50,11.5,1,334-6605
no,no,0.017,0.005,0,160.9,95,251.2,65,273.4,97,5,5,399-5564
no,no,0.013,0.009,0,228.7,90,163,99,154.1,90,11.8,3,392-2887
no,no,0.01,0.008,0,144,90,181.6,100,128.1,93,12.3,2,328-2110
no,yes,0.013,0.01,31,135.9,90,271,84,179.1,89,9.5,7,383-5976
no,no,0.021,0.014,0,334.3,118,192.1,104,191,83,10.4,6,332-6181
no,no,0.016,0,0,130.5,77,131.2,117,264.7,63,13,6,330-5255
no,yes,0.058,0.038,21,134.2,105,162.5,128,186.6,90,11.8,2,413-5190
no,no,0.04,0.035,0,278,102,266.4,114,224.1,118,13.1,4,394-7447
no,no,0.02,0.011,0,105.4,70,214.8,122,223.6,126,7.8,5,353-7096
no,no,0.006,0.009,0,188.9,94,203.9,104,151.8,124,11.6,8,395-6002
no,yes,0.002,0.015,24,111.8,85,239.6,102,268.3,81,6.9,4,372-9816
no,yes,0.007,0.008,33,159.1,106,149.8,101,213.4,108,13,18,400-7253
no,no,0.005,0.012,0,212.4,105,224.6,118,221.3,105,9,4,344-7470
no,no,0.004,0.006,0,142.3,112,306.3,111,196.5,82,9.9,1,378-8572
yes,no,0.041,0.036,0,346.8,55,249.5,79,275.4,102,13.3,9,345-9140
no,yes,0.006,0.004,15,113.9,102,145.3,146,195.2,137,11.8,9,340-5460
yes,yes,0.01,0.036,27,267.9,103,263.3,74,178.1,106,8.3,2,369-8024
no,no,0.012,0.01,0,171.4,117,115.2,128,224.5,115,17,4,395-8595
no,no,0.011,0.013,0,275.4,150,187.5,62,147.1,126,13.6,3,359-4587
no,yes,0,0.014,31,197.2,118,249.9,70,298.9,104,3.9,2,375-5439
no,yes,0.017,0.008,35,192.6,97,135.2,101,216.2,101,7.9,2,361-3779
no,yes,0.001,0.015,26,91.7,104,150.6,119,63.3,103,7.7,5,375-8934
no,no,0.013,0.005,0,126.3,99,141.6,106,255.9,96,9.6,2,395-4757
no,yes,0.018,0.011,33,251.5,107,234.1,110,213.4,87,10.4,6,421-7205
no,no,0.013,0.009,0,190.6,108,152.3,95,144.7,97,7.5,5,379-8805
no,no,0.003,0.003,0,116.1,101,201.8,99,181.9,103,11.6,5,348-2150
no,no,0.019,0.011,0,217.3,91,216.1,95,148.1,76,11.3,3,417-9128
no,no,0.007,0.008,0,179.4,80,232.5,99,175.8,105,14.7,3,351-4226
no,no,0.01,0.001,0,207.7,109,164.8,94,54.5,91,7.9,3,330-6630
no,no,0.021,0.022,0,277.3,138,228.4,117,117.3,103,12.8,4,387-9137
no,no,0.012,0.002,0,125.3,84,167.6,121,260.6,94,8.4,4,372-3987
no,yes,0.005,0.008,32,138.1,91,167.3,72,238.9,115,6.8,3,408-5183
no,yes,0.015,0.008,38,169.3,88,225.9,97,172,86,8.2,3,412-9357
no,yes,0.014,0.013,27,201.3,101,143.8,89,150.2,127,12.3,3,402-3599
yes,no,0.009,0.007,0,216.7,117,116.5,126,220,110,9.8,4,379-5211
no,no,0.015,0.005,0,190.4,92,317.5,85,133.4,113,8.3,4,405-9217
no,no,0,0.007,0,143.3,91,195.5,58,223.3,95,6,7,340-9200
no,yes,0.008,0.003,42,97.4,57,203.6,98,173.9,124,11.4,2,339-9026
no,no,0,0.015,0,181.4,111,167.7,92,168.5,122,11.3,3,343-4772
no,no,0.015,0.008,0,246.4,83,256.2,101,169,151,3.8,4,345-2108
no,no,0.005,0.014,0,143.4,130,289.4,50,194,100,9.7,6,401-4650
no,no,0.004,0.016,0,104.9,111,198.5,120,258.2,91,8,5,400-3945
no,no,0.011,0.008,0,156.2,93,193,54,222.7,94,13.1,5,338-3781
no,no,0.008,0,0,114.8,125,81.9,126,304.3,101,12,4,342-6316
no,no,0,0.008,0,232.5,96,205.5,120,213.7,91,11.9,2,336-5920
no,no,0.017,0.003,0,143.6,117,152.4,108,194.4,110,8.6,3,332-1060
no,no,0.008,0.012,0,176.7,132,244.1,80,176.3,120,9.1,4,418-3426
no,no,0.035,0.021,0,263.4,148,230.3,69,170.6,101,11.4,5,408-6326
no,no,0.013,0.008,0,146.4,74,148.5,92,216.7,96,11.3,3,334-6142
no,yes,0.019,0.008,33,145,72,194.5,157,242.3,138,14.2,3,336-6128
no,no,0.01,0.007,0,167.8,91,167.7,69,110.3,71,8.4,12,406-6708
no,no,0.001,0.014,0,166.9,99,154.9,97,189.4,89,7.2,5,388-8670
no,no,0.003,0.008,0,142.5,87,195.7,88,122.1,117,7.8,8,363-5853
yes,no,0.019,0.004,0,133,65,262.8,93,214.3,128,11.2,3,383-6544
no,yes,0.013,0.003,11,252.9,129,284.3,88,262.8,99,12.3,1,378-2940
no,yes,0.009,0.005,28,95,94,291.2,73,159.6,114,10,2,338-7683
yes,no,0.064,0.01,0,194.2,106,249.4,105,254.9,129,12.9,1,329-2786
no,no,0.013,0.002,0,222.8,114,215.9,113,223.5,122,0,0,369-9465
no,no,0.001,0.01,0,201.8,82,231.5,95,226.1,130,16.5,5,337-3769
no,yes,0.058,0.013,42,216,125,232.3,104,215.5,100,9.3,4,400-6257
no,no,0.012,0.011,0,146.3,108,171.8,102,167.5,66,5.3,9,411-6663
no,no,0.006,0.015,0,234.8,85,140.9,91,204.3,93,9.5,5,384-3101
no,no,0.02,0.011,0,198.6,111,213.9,115,171.2,105,10.6,6,339-5329
no,no,0,0,0,94.4,80,215.1,101,179.7,108,13.1,9,388-9944
no,no,0.009,0.012,0,190.4,74,215.6,113,161.2,111,10,1,403-1769
no,yes,0.006,0.003,32,142.6,77,208.2,126,171,102,12,2,390-1612
yes,no,0.011,0.012,0,134.2,80,165,71,173.1,102,10.7,5,421-7214
no,no,0.009,0.017,0,111.9,92,114,143,146.8,79,14.1,3,338-6962
no,no,0.006,0.011,0,122.8,89,211.3,104,261.4,91,10.7,2,333-9826
no,no,0,0.016,0,189.3,77,220.9,105,238.7,117,9.2,5,411-8549
no,yes,0.017,0.001,38,240.4,112,201.8,102,206.1,112,16.1,6,381-9234
yes,yes,0.013,0.01,24,93.5,112,183.4,128,240.7,133,9.9,3,387-9855
no,no,0.012,0.009,0,158.6,104,211.2,77,179.3,104,10.2,8,371-6990
yes,no,0.003,0.016,0,243.2,109,147,88,94.9,99,7.2,4,417-3046
no,no,0,0.004,0,176.4,115,158.8,128,306.6,107,9.3,3,385-7082
no,no,0.02,0.006,0,220.9,129,242.2,108,233.3,75,6.4,5,365-5886
no,no,0.009,0.016,0,144.4,87,266.5,128,217.6,59,7.1,7,373-5196
no,no,0.008,0.016,0,212.3,107,228.4,103,163.3,116,7.7,3,327-6194
no,no,0,0.002,0,147,72,165.7,102,243.2,107,8.4,9,381-4565
no,yes,0,0.015,25,96.2,112,178.9,70,182.1,84,12.9,10,357-9832
no,no,0.004,0.013,0,263.4,118,179.1,69,214.7,112,10.3,2,396-4845
yes,no,0.016,0.012,0,12.5,67,256.6,90,169.4,88,7.7,9,378-6772
no,no,0.018,0.008,0,162.3,116,192.4,86,240.6,100,10.1,3,353-4296
no,no,0.019,0.015,0,183.6,107,58.6,118,202.6,99,8.7,3,362-8331
no,no,0,0.007,0,178.1,109,146.5,86,137.6,78,8.5,2,362-4685
no,no,0.013,0.011,0,201.4,101,97.6,122,202.5,119,7,3,383-1431
no,yes,0.002,0.01,38,123,158,133.9,119,138.2,103,13.3,4,332-2258
no,no,0.018,0.007,0,208,125,198.9,76,76.4,97,8.6,6,375-8304
no,no,0,0.001,0,239.2,72,188.5,124,105.6,116,8.8,3,340-5580
no,no,0.004,0.005,0,193,97,89.8,99,172.8,104,15.3,3,362-1490
no,yes,0.016,0,31,174.5,101,245.6,105,172.8,76,10.3,9,336-4281
no,yes,0.004,0.004,26,116.7,71,145.9,88,175.1,103,9.9,3,361-1315
no,no,0.005,0.006,0,93.8,127,150,104,241.1,116,10.7,2,342-5906
yes,yes,0.02,0.001,30,154.1,114,118.7,106,258.4,105,12.9,3,405-7904
no,yes,0.01,0.01,29,239.5,82,203.8,105,167.8,70,9.9,6,349-4762
no,yes,0.002,0.002,25,216,140,224.1,69,267.9,112,11.8,4,385-3263
no,no,0.005,0.01,0,187.4,97,177.8,89,233.4,97,12.2,6,405-9496
no,no,0.006,0.004,0,167.4,119,233.2,143,109.6,115,10.3,5,396-6775
no,no,0.011,0.005,0,160.4,108,218.1,88,192.9,115,12.5,4,393-6475
no,no,0.008,0.016,0,143.2,92,209.1,142,173,96,11.9,9,379-7779
no,no,0.005,0.014,0,205.3,122,240.5,155,179.1,107,5,9,408-8650
no,yes,0.001,0.016,25,219.1,88,151.5,99,50.1,60,14.3,6,400-3497
no,no,0.016,0.004,0,143.2,77,169.8,114,215.8,77,7.6,4,407-9244
no,no,0.012,0.006,0,232.8,106,175.2,97,212.2,77,12.5,7,406-8809
no,no,0.003,0,0,162,81,247.5,89,155.5,99,8.9,8,358-1778
no,yes,0.011,0.002,27,25.9,119,206.5,96,228.1,64,6.5,7,337-4339
no,no,0.027,0.013,0,154.2,123,112.3,86,246.4,75,15.4,4,344-7197
no,no,0.041,0.019,0,322.3,113,222,95,162.8,123,6.7,8,333-7631
no,no,0.004,0.015,0,209.9,112,221.3,82,210,93,8.2,3,372-6623
no,no,0.006,0.013,0,191.5,88,175.2,78,220.3,118,0,0,363-2602
no,yes,0.006,0.015,19,291.1,150,226.7,123,219.1,67,7.5,2,387-7757
no,no,0,0.011,0,215.6,115,216.2,85,171.3,65,11.8,1,397-5381
yes,no,0.001,0.007,0,208.8,101,213.7,87,175.1,86,12.4,6,406-4604
no,no,0.018,0.012,0,255.9,97,204.1,129,171.3,84,12.3,5,376-9513
no,no,0.011,0,0,252.7,97,221.1,121,109.9,100,12.4,4,360-1852
no,no,0.011,0.005,0,132.1,72,247.5,107,246.2,123,6.9,6,421-7270
no,no,0,0.007,0,217,115,207,142,268,106,8.2,4,371-9482
no,yes,0.002,0.002,42,101.9,79,223.1,97,241.6,77,12.9,2,337-4101
no,no,0.018,0.003,0,211.5,100,184.6,88,164.3,131,13.3,4,420-2796
no,no,0.018,0.006,0,153.4,86,198.5,81,164.4,83,10.4,3,366-4225
no,no,0.016,0.002,0,166.3,95,239.3,87,123.2,108,10,3,398-4567
no,no,0.02,0.008,0,185.2,87,170.4,96,165.1,104,9.5,13,388-4571
no,no,0.01,0.007,0,104.6,121,149.5,71,255.1,67,6.5,8,360-8666
